Email,Name,Faculty,Domain
Std1@e.ntu.edu.sg,StudentName1,EEE,1
Std2@e.ntu.edu.sg,StudentName2,EEE,1
Std3@e.ntu.edu.sg,StudentName3,EEE,1
Std4@e.ntu.edu.sg,StudentName4,EEE,1
Std5@e.ntu.edu.sg,StudentName5,EEE,1
Std6@e.ntu.edu.sg,StudentName6,EEE,1
Std7@e.ntu.edu.sg,StudentName7,EEE,1
Std8@e.ntu.edu.sg,StudentName8,EEE,1
Std9@e.ntu.edu.sg,StudentName9,EEE,1
Std10@e.ntu.edu.sg,StudentName10,EEE,1
Std11@e.ntu.edu.sg,StudentName11,EEE,1
Std12@e.ntu.edu.sg,StudentName12,EEE,1
Std13@e.ntu.edu.sg,StudentName13,EEE,1
Std14@e.ntu.edu.sg,StudentName14,EEE,1
Std15@e.ntu.edu.sg,StudentName15,EEE,1
Std16@e.ntu.edu.sg,StudentName16,SCSE,1
Std17@e.ntu.edu.sg,StudentName17,SCSE,1
Std18@e.ntu.edu.sg,StudentName18,SCSE,1
Std19@e.ntu.edu.sg,StudentName19,SCSE,1
Std20@e.ntu.edu.sg,StudentName20,SCSE,1
Std21@e.ntu.edu.sg,StudentName21,SCSE,1
Std22@e.ntu.edu.sg,StudentName22,SCSE,1
Std23@e.ntu.edu.sg,StudentName23,SCSE,1
Std24@e.ntu.edu.sg,StudentName24,SCSE,1
Std25@e.ntu.edu.sg,StudentName25,SCSE,1
Std26@e.ntu.edu.sg,StudentName26,SCSE,1
Std27@e.ntu.edu.sg,StudentName27,SCSE,1
Std28@e.ntu.edu.sg,StudentName28,SCSE,1
Std29@e.ntu.edu.sg,StudentName29,SCSE,1
Std30@e.ntu.edu.sg,StudentName30,SCSE,1
Staff1@ntu.edu.sg,StaffName1,SCSE,2
Staff3@NTU.EDU.SG,StaffName2,EEE,2
Staff4@NTU.EDU.SG,StaffName3,NBS,2
Staff5@ntu.edu.sg,StaffName4,ADM,2
Staff2@NTU.EDU.SG,StaffName5,EEE,2
Staff6@ntu.edu.sg,StaffName6,EEE,2
Staff7@NTU.EDU.SG,StaffName7,SCSE,2
Staff8@NTU.EDU.SG,StaffName8,SCSE,2
